Title,Description,URL,Username,Top Repository,Github,Repository URL,Ratings
Title,Description,URL,mrdoob,three.js,https://github.com//mrdoob,https://github.com//mrdoob/three.js,97700
Title,Description,URL,pmndrs,react-three-fiber,https://github.com//pmndrs,https://github.com//pmndrs/react-three-fiber,25400
Title,Description,URL,libgdx,libgdx,https://github.com//libgdx,https://github.com//libgdx/libgdx,22500
Title,Description,URL,BabylonJS,Babylon.js,https://github.com//BabylonJS,https://github.com//BabylonJS/Babylon.js,22100
Title,Description,URL,ssloy,tinyrenderer,https://github.com//ssloy,https://github.com//ssloy/tinyrenderer,19000
Title,Description,URL,FreeCAD,FreeCAD,https://github.com//FreeCAD,https://github.com//FreeCAD/FreeCAD,16900
Title,Description,URL,lettier,3d-game-shaders-for-beginners,https://github.com//lettier,https://github.com//lettier/3d-game-shaders-for-beginners,16800
Title,Description,URL,aframevr,aframe,https://github.com//aframevr,https://github.com//aframevr/aframe,16000
Title,Description,URL,CesiumGS,cesium,https://github.com//CesiumGS,https://github.com//CesiumGS/cesium,11600
Title,Description,URL,blender,blender,https://github.com//blender,https://github.com//blender/blender,11000
Title,Description,URL,MonoGame,MonoGame,https://github.com//MonoGame,https://github.com//MonoGame/MonoGame,10600
Title,Description,URL,isl-org,Open3D,https://github.com//isl-org,https://github.com//isl-org/Open3D,10200
Title,Description,URL,metafizzy,zdog,https://github.com//metafizzy,https://github.com//metafizzy/zdog,10200
Title,Description,URL,timzhang642,3D-Machine-Learning,https://github.com//timzhang642,https://github.com//timzhang642/3D-Machine-Learning,9400
Title,Description,URL,nerfstudio-project,nerfstudio,https://github.com//nerfstudio-project,https://github.com//nerfstudio-project/nerfstudio,8100
Title,Description,URL,a1studmuffin,SpaceshipGenerator,https://github.com//a1studmuffin,https://github.com//a1studmuffin/SpaceshipGenerator,7500
Title,Description,URL,domlysz,BlenderGIS,https://github.com//domlysz,https://github.com//domlysz/BlenderGIS,7100
Title,Description,URL,FyroxEngine,Fyrox,https://github.com//FyroxEngine,https://github.com//FyroxEngine/Fyrox,7000
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,google,model-viewer,https://github.com//google,https://github.com//google/model-viewer,6400
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,openscad,openscad,https://github.com//openscad,https://github.com//openscad/openscad,6300
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,ljianshu,Blog,https://github.com//ljianshu,https://github.com//ljianshu/Blog,7800
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,metafizzy,infinite-scroll,https://github.com//metafizzy,https://github.com//metafizzy/infinite-scroll,7400
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,olifolkerd,tabulator,https://github.com//olifolkerd,https://github.com//olifolkerd/tabulator,6100
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,developit,unfetch,https://github.com//developit,https://github.com//developit/unfetch,5700
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,jquery-form,form,https://github.com//jquery-form,https://github.com//jquery-form/form,5200
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,Studio-42,elFinder,https://github.com//Studio-42,https://github.com//Studio-42/elFinder,4500
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,elbywan,wretch,https://github.com//elbywan,https://github.com//elbywan/wretch,4400
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com//dwyl,https://github.com//dwyl/learn-to-send-email-via-google-script-html-no-server,3100
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,ded,reqwest,https://github.com//ded,https://github.com//ded/reqwest,2900
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,wendux,ajax-hook,https://github.com//wendux,https://github.com//wendux/ajax-hook,2500
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,LeaVerou,bliss,https://github.com//LeaVerou,https://github.com//LeaVerou/bliss,2400
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,noelboss,featherlight,https://github.com//noelboss,https://github.com//noelboss/featherlight,2100
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,craftpip,jquery-confirm,https://github.com//craftpip,https://github.com//craftpip/jquery-confirm,1900
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,nette,tracy,https://github.com//nette,https://github.com//nette/tracy,1700
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,taoensso,sente,https://github.com//taoensso,https://github.com//taoensso/sente,1700
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,k8w,tsrpc,https://github.com//k8w,https://github.com//k8w/tsrpc,1700
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com//topics/3d,loadingio,css-spinner,https://github.com//loadingio,https://github.com//loadingio/css-spinner,1700
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,joaomilho,Enterprise,https://github.com//joaomilho,https://github.com//joaomilho/Enterprise,1600
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,codingforentrepreneurs,eCommerce,https://github.com//codingforentrepreneurs,https://github.com//codingforentrepreneurs/eCommerce,1500
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,u014427391,jeeplatform,https://github.com//u014427391,https://github.com//u014427391/jeeplatform,1400
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,jwasham,coding-interview-university,https://github.com//jwasham,https://github.com//jwasham/coding-interview-university,279000
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,trekhleb,javascript-algorithms,https://github.com//trekhleb,https://github.com//trekhleb/javascript-algorithms,181000
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,TheAlgorithms,Python,https://github.com//TheAlgorithms,https://github.com//TheAlgorithms/Python,176000
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,CyC2018,CS-Notes,https://github.com//CyC2018,https://github.com//CyC2018/CS-Notes,171000
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,yangshun,tech-interview-handbook,https://github.com//yangshun,https://github.com//yangshun/tech-interview-handbook,107000
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,krahets,hello-algo,https://github.com//krahets,https://github.com//krahets/hello-algo,64099
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,kdn251,interviews,https://github.com//kdn251,https://github.com//kdn251/interviews,61300
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,TheAlgorithms,Java,https://github.com//TheAlgorithms,https://github.com//TheAlgorithms/Java,56000
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,azl397985856,leetcode,https://github.com//azl397985856,https://github.com//azl397985856/leetcode,53400
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,algorithm-visualizer,algorithm-visualizer,https://github.com//algorithm-visualizer,https://github.com//algorithm-visualizer/algorithm-visualizer,45900
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,youngyangyang04,leetcode-master,https://github.com//youngyangyang04,https://github.com//youngyangyang04/leetcode-master,45600
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,huihut,interview,https://github.com//huihut,https://github.com//huihut/interview,32200
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,halfrost,LeetCode-Go,https://github.com//halfrost,https://github.com//halfrost/LeetCode-Go,31500
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,TheAlgorithms,JavaScript,https://github.com//TheAlgorithms,https://github.com//TheAlgorithms/JavaScript,30700
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,TheAlgorithms,C-Plus-Plus,https://github.com//TheAlgorithms,https://github.com//TheAlgorithms/C-Plus-Plus,28700
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com//topics/ajax,donnemartin,interactive-coding-challenges,https://github.com//donnemartin,https://github.com//donnemartin/interactive-coding-challenges,28500
Algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.,https://github.com//topics/algorithm,crossoverJie,JCSprout,https://github.com//crossoverJie,https://github.com//crossoverJie/JCSprout,27100
